,,Location of lower border (distance from pia),,,,
Slice number,,L1,L2/3,L5,L6,Background pixel value (no axons)
1,,131.5,428.4,630.8,887.8,60
2,,173.9,495.4,733.2,972,35
3,,178.1,399,638.1,939,40
4,,176.2,378.9,669.9,935.9,35
5,,167.7,342.6,559.4,858.1,40
6,,154.1,353.9,560.2,928.5,25
7,,221.1,455.4,747.6,1063,25
8,,149.1,324.4,551.1,904.7,20
9,,152.9,350.9,557.6,886.9,15
10,,199.1,404.6,705.5,1035,40
