,,Location of lower border (distance from pia),,,,
Slice number,,L1,L2/3,L5,L6,Background pixel value (no axons)
1,,215,589.5,922.6,1248,80
2,,185.2,474.3,691.6,1049,70
3,,143.3,389.9,616.3,836.2,60
4,,172.6,417.5,688.6,1035,60
5,,162.2,401.3,652.2,1063,65
6,,195.6,471.8,714.1,1109,55
