,,Location of lower border (distance from pia),,,,
Slice number,,L1,L2/3,L5,L6,Background pixel value (no axons)
1,,114.4,466.7,688.3,868.5,95
2,,111.7,461.9,733.6,1184,75
3,,191.3,424.8,673.2,1058,90
4,,100.3,471.5,847.1,1281,95
5,,211.3,572.9,815.5,1123,60
6,,224.5,596.2,822.2,1130,80
