,,Location of lower border (distance from pia),,,,
Slice number,,L1,L2/3,L5,L6,Background pixel value (no axons)
1,,106.5,394.5,684.3,953.4,50
2,,164.6,398.6,675.2,981.1,65
3,,192.7,437.5,677.1,985.2,65
4,,173.4,390.6,687.3,1063,60
5,,191.9,445.5,708.2,1049,40
6,,183.9,435.3,698.3,1024,30
7,,149.3,336.3,572.9,1001,60
8,,163.9,366.8,534.4,870.2,75
9,,157.9,390.2,645.7,924.7,40
10,,177.1,395.5,543.5,873.2,45
11,,171.8,392.5,654.5,890.6,45
