,,Location of lower border (distance from pia),,,,
Slice number,,L1,L2/3,L5,L6,Background pixel value (no axons)
1,,146.9,311.7,530.4,817.2,80
2,,103.5,307.9,552.6,820.9,45
3,,101.6,294.7,781.2,792,50
4,,146.6,357.6,601.4,868.5,35
5,,112.2,364.7,610.1,916.3,40
6,,154.6,457.9,752.4,1018,60
7,,135.9,395.3,595.9,913.2,40
